date,close,Id
2016-01-01,434.98,1
2016-01-02,433.74,2
2016-01-03,430.85,3
2016-01-04,433.97,4
2016-01-05,431.89,5
2016-01-06,431.84,6
2016-01-07,457.79,7
2016-01-08,451.32,8
2016-01-09,449.95,9
2016-01-10,447.21,10
2016-01-11,448.99,11
2016-01-12,446.27,12
2016-01-13,432.53,13
2016-01-14,429.22,14
2016-01-15,372.85,15
2016-01-16,386.43,16
2016-01-17,382.85,17
2016-01-18,385.0,18
2016-01-19,379.88,19
2016-01-20,410.93,20
2016-01-21,410.03,21
2016-01-22,381.78,22
2016-01-23,386.92,23
2016-01-24,402.5,24
2016-01-25,392.58,25
2016-01-26,390.66,26
2016-01-27,395.0,27
2016-01-28,379.16,28
2016-01-29,379.44,29
2016-01-30,376.6,30
2016-01-31,370.0,31
2016-02-01,371.5,32
2016-02-02,373.18,33
2016-02-03,367.64,34
2016-02-04,390.0,35
2016-02-05,385.88,36
2016-02-06,374.27,37
2016-02-07,375.4,38
2016-02-08,371.16,39
2016-02-09,373.16,40
2016-02-10,379.86,41
2016-02-11,377.99,42
2016-02-12,382.88,43
2016-02-13,389.51,44
2016-02-14,403.95,45
2016-02-15,399.0,46
2016-02-16,406.47,47
2016-02-17,415.52,48
2016-02-18,420.31,49
2016-02-19,419.27,50
2016-02-20,440.24,51
2016-02-21,437.7,52
2016-02-22,437.97,53
2016-02-23,420.05,54
2016-02-24,422.61,55
2016-02-25,423.51,56
2016-02-26,427.8,57
2016-02-27,431.06,58
2016-02-28,432.16,59
2016-02-29,436.62,60
2016-03-01,433.31,61
2016-03-02,425.18,62
2016-03-03,420.27,63
2016-03-04,409.97,64
2016-03-05,398.5,65
2016-03-06,404.78,66
2016-03-07,414.76,67
2016-03-08,412.13,68
2016-03-09,412.66,69
2016-03-10,416.5,70
2016-03-11,418.1,71
2016-03-12,410.47,72
2016-03-13,412.64,73
2016-03-14,413.85,74
2016-03-15,415.89,75
2016-03-16,416.49,76
2016-03-17,418.49,77
2016-03-18,408.21,78
2016-03-19,408.94,79
2016-03-20,411.34,80
2016-03-21,410.99,81
2016-03-22,415.89,82
2016-03-23,417.22,83
2016-03-24,415.96,84
2016-03-25,416.25,85
2016-03-26,416.77,86
2016-03-27,424.3,87
2016-03-28,422.05,88
2016-03-29,415.4,89
2016-03-30,413.09,90
2016-03-31,415.51,91
2016-04-01,415.38,92
2016-04-02,419.19,93
2016-04-03,419.0,94
2016-04-04,418.65,95
2016-04-05,422.6,96
2016-04-06,421.63,97
2016-04-07,419.84,98
2016-04-08,418.13,99
2016-04-09,418.37,100
2016-04-10,420.77,101
2016-04-11,422.08,102
2016-04-12,425.91,103
2016-04-13,423.26,104
2016-04-14,424.51,105
2016-04-15,429.25,106
2016-04-16,430.68,107
2016-04-17,426.75,108
2016-04-18,428.07,109
2016-04-19,435.25,110
2016-04-20,441.25,111
